RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_START	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_PUPIL	condition	category	img_name	expected	Button_Press	Correct	Button_pressed_time	Time_on_Display	RT	image_id
s2_bot	7	1	40	203	277	103	1068.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	2	303	79	364	204	1082.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	3	423	178	440	208	1153.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	4	631	294	431	244	1369.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	5	933	372	430	241	1543.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	6	1326	362	425	227	1740.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	7	1711	184	432	242	1847.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	8	1953	298	338	191	2020.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	7	9	2301	113	382	232	1791.0	present	bottle	000000394517.jpg	7	7	1	113433.0	111580.857422	1852	394517
s2_bot	11	1	7	171	258	161	1196.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	2	214	141	268	138	1154.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	3	415	231	213	50	1198.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	4	670	174	207	24	1413.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	5	862	198	204	14	1559.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	6	1131	227	98	103	1724.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	11	7	1427	167	248	106	1903.0	present	bottle	000000276488.jpg	7	7	1	138206.0	137167.511422	1038	276488
s2_bot	30	1	7	57	256	158	1057.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	2	89	188	235	132	1096.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	3	325	110	161	127	1042.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	4	488	148	101	157	1123.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	5	679	165	77	150	1286.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	6	892	286	89	200	1437.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	30	7	1200	518	92	185	1555.0	present	bottle	000000182213.jpg	7	7	1	213331.0	212176.128422	1154	182213
s2_bot	44	1	7	37	258	158	1057.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	2	75	222	234	118	1089.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	3	342	49	291	95	1028.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	4	428	145	251	82	1108.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	5	596	365	242	61	1302.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	6	979	174	234	56	1453.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	7	1168	305	235	45	1550.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	8	1529	291	329	76	1647.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	9	1875	209	381	123	1712.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
s2_bot	44	10	2138	159	417	173	1711.0	present	bottle	000000371864.jpg	7	7	1	284494.0	282280.896422	2213	371864
