imageid	filename
000000148614	TP_clock_000000148614.jpg
000000513219	TP_potted plant_000000513219.jpg
000000558673	TP_tv_000000558673.jpg
000000175954	TP_keyboard_000000175954.jpg
000000006608	TP_chair_000000006608.jpg
000000240501	TP_toilet_000000240501.jpg
000000555009	TP_mouse_000000555009.jpg
000000068881	TP_fork_000000068881.jpg
000000244571	TP_tv_000000244571.jpg
000000505132	TP_sink_000000505132.jpg
000000325992	TP_tv_000000325992.jpg
000000546934	TP_tv_000000546934.jpg
000000343466	TP_sink_000000343466.jpg
000000270721	TP_sink_000000270721.jpg
000000541345	TP_oven_000000541345.jpg
000000058029	TP_sink_000000058029.jpg
000000088244	TP_laptop_000000088244.jpg
000000150675	TP_clock_000000150675.jpg
000000436694	TP_car_000000436694.jpg
000000410855	TP_stop sign_000000410855.jpg
000000024104	TP_keyboard_000000024104.jpg
000000240111	TP_toilet_000000240111.jpg
000000284153	TP_toilet_000000284153.jpg
000000450391	TP_bottle_000000450391.jpg
000000442323	TP_chair_000000442323.jpg
000000283131	TP_sink_000000283131.jpg
000000304815	TP_mouse_000000304815.jpg
000000486009	TP_oven_000000486009.jpg
000000282143	TP_cup_000000282143.jpg
000000278449	TP_knife_000000278449.jpg
000000044263	TP_laptop_000000044263.jpg
000000260105	TP_cup_000000260105.jpg
000000373574	TP_chair_000000373574.jpg
000000413551	TP_fork_000000413551.jpg
000000263393	TP_bowl_000000263393.jpg
000000383549	TP_tv_000000383549.jpg
000000275661	TP_chair_000000275661.jpg
000000356906	TP_chair_000000356906.jpg
000000076384	TP_knife_000000076384.jpg
000000050306	TP_fork_000000050306.jpg
000000241350	TP_tv_000000241350.jpg
000000319696	TP_bottle_000000319696.jpg
000000400922	TP_clock_000000400922.jpg
000000195754	TP_tv_000000195754.jpg
000000302806	TP_cup_000000302806.jpg
000000157283	TP_potted plant_000000157283.jpg
000000292741	TP_keyboard_000000292741.jpg
000000110048	TP_cup_000000110048.jpg
000000154423	TP_keyboard_000000154423.jpg
000000306313	TP_sink_000000306313.jpg
000000394659	TP_sink_000000394659.jpg
000000298773	TP_bottle_000000298773.jpg
000000499842	TP_keyboard_000000499842.jpg
000000135579	TP_cup_000000135579.jpg
000000367074	TP_sink_000000367074.jpg
000000129576	TP_potted plant_000000129576.jpg
000000440724	TP_fork_000000440724.jpg
000000459440	TP_keyboard_000000459440.jpg
000000118625	TP_sink_000000118625.jpg
000000131504	TP_clock_000000131504.jpg
000000368218	TP_fork_000000368218.jpg
000000071929	TP_fork_000000071929.jpg
000000581177	TP_oven_000000581177.jpg
000000145093	TP_clock_000000145093.jpg
000000561517	TP_fork_000000561517.jpg
000000446881	TP_tv_000000446881.jpg
000000325505	TP_oven_000000325505.jpg
000000429408	TP_potted plant_000000429408.jpg
000000241599	TP_microwave_000000241599.jpg
000000513220	TP_fork_000000513220.jpg
000000318044	TP_bowl_000000318044.jpg
000000142248	TP_potted plant_000000142248.jpg
000000574166	TP_toilet_000000574166.jpg
000000514682	TP_toilet_000000514682.jpg
000000520077	TP_bottle_000000520077.jpg
000000167964	TP_stop sign_000000167964.jpg
000000543330	TP_knife_000000543330.jpg
000000028682	TP_sink_000000028682.jpg
000000326854	TP_laptop_000000326854.jpg
000000355430	TP_bowl_000000355430.jpg
000000156609	TP_keyboard_000000156609.jpg
000000565034	TP_keyboard_000000565034.jpg
000000581593	TP_fork_000000581593.jpg
000000197840	TP_potted plant_000000197840.jpg
000000213375	TP_tv_000000213375.jpg
000000449708	TP_cup_000000449708.jpg
000000338159	TP_sink_000000338159.jpg
000000369379	TP_knife_000000369379.jpg
000000526536	TP_cup_000000526536.jpg
000000335515	TP_bowl_000000335515.jpg
000000439472	TP_tv_000000439472.jpg
000000024880	TP_keyboard_000000024880.jpg
000000271117	TP_bottle_000000271117.jpg
000000346638	TP_mouse_000000346638.jpg
000000262093	TP_potted plant_000000262093.jpg
000000395343	TP_chair_000000395343.jpg
000000378099	TP_mouse_000000378099.jpg
000000042526	TP_bowl_000000042526.jpg
000000224010	TP_potted plant_000000224010.jpg
000000463527	TP_cup_000000463527.jpg
000000453159	TP_sink_000000453159.jpg
000000518873	TP_tv_000000518873.jpg
000000147736	TP_fork_000000147736.jpg
000000430047	TP_tv_000000430047.jpg
000000472704	TP_toilet_000000472704.jpg
000000410932	TP_stop sign_000000410932.jpg
000000443240	TP_tv_000000443240.jpg
000000170365	TP_sink_000000170365.jpg
000000212346	TP_car_000000212346.jpg
000000053569	TP_sink_000000053569.jpg
000000512240	TP_keyboard_000000512240.jpg
000000498463	TP_microwave_000000498463.jpg
000000306212	TP_microwave_000000306212.jpg
000000033652	TP_bowl_000000033652.jpg
000000097964	TP_mouse_000000097964.jpg
000000461681	TP_cup_000000461681.jpg
000000165422	TP_clock_000000165422.jpg
000000344100	TP_cup_000000344100.jpg
000000098832	TP_oven_000000098832.jpg
000000478155	TP_bottle_000000478155.jpg
000000395701	TP_tv_000000395701.jpg
000000556420	TP_chair_000000556420.jpg
000000532159	TP_stop sign_000000532159.jpg
000000426205	TP_laptop_000000426205.jpg
000000054598	TP_chair_000000054598.jpg
000000507575	TP_tv_000000507575.jpg
000000497928	TP_potted plant_000000497928.jpg
000000045406	TP_mouse_000000045406.jpg
000000163528	TP_bowl_000000163528.jpg
000000178469	TP_keyboard_000000178469.jpg
000000518039	TP_fork_000000518039.jpg
000000439837	TP_bowl_000000439837.jpg
000000322845	TP_stop sign_000000322845.jpg
000000259336	TP_mouse_000000259336.jpg
000000197840	TP_chair_000000197840.jpg
000000086135	TP_bottle_000000086135.jpg
000000413058	TP_mouse_000000413058.jpg
000000518592	TP_cup_000000518592.jpg
000000045775	TP_knife_000000045775.jpg
000000091615	TP_sink_000000091615.jpg
000000428305	TP_sink_000000428305.jpg
000000117683	TP_cup_000000117683.jpg
000000030270	TP_toilet_000000030270.jpg
000000079472	TP_tv_000000079472.jpg
000000496618	TP_cup_000000496618.jpg
000000161227	TP_laptop_000000161227.jpg
000000242422	TP_sink_000000242422.jpg
000000059383	TP_microwave_000000059383.jpg
000000410889	TP_bowl_000000410889.jpg
000000572260	TP_cup_000000572260.jpg
000000567686	TP_cup_000000567686.jpg
000000449950	TP_sink_000000449950.jpg
000000121157	TP_keyboard_000000121157.jpg
